county_id,county_desc,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
71,PENDER,Republican,55807,22119,0.12272653968140197,0.008635110086351101,0.7689357965846578,0.9087210090872101,0.23106420341534217,0.0912789909127899,52.84045012274446,54.16103802161038,0.3615317074918917,0.20947451185952037,0.00314506617743415,0.1278993578823221,0.34372952430874065
72,PERQUIMANS,Democrat,11710,3466,0.1941076003415884,0.5279861511829198,0.7402220324508967,0.4272937103289094,0.2597779675491033,0.5727062896710906,58.00068317677199,62.00115406809002,0.3564474807856533,0.27013333333333334,0.0032,0.11226666666666667,0.39066666666666666
72,PERQUIMANS,Republican,11710,3989,0.1941076003415884,0.0188017046878917,0.7402220324508967,0.9167711205815994,0.2597779675491033,0.0832288794184006,58.00068317677199,57.48282777638506,0.3564474807856533,0.30751252086811354,6.67779632721202e-4,0.13689482470784642,0.44908180300500833
73,PERSON,Democrat,31229,11245,0.2510807262480387,0.57376611827478885,0.6519260943353934,0.35713650511338374,0.3480739056646066,0.6428634948866163,54.623715136571775,59.4830591373944,0.34586442089083863,0.2342050209205021,0.0029288702928870294,0.14246861924686194,0.3890167364016736
73,PERSON,Republican,31229,9020,0.2510807262480387,0.01707317073170732,0.6519260943353934,0.8905764966740577,0.3480739056646066,0.10942350332594235,54.623715136571775,54.07849223946785,0.34586442089083863,0.27897240723120836,0.0020932445290199808,0.12464319695528069,0.41122740247383444
74,PITT,Democrat,143061,57613,0.3307959541733946,0.6362973634422786,0.5335695961862422,0.28047489281932897,0.4664304038137578,0.719525107180671,47.99716903978023,51.73372329161821,0.341469722705699,0.24254112746137974,0.0027579024512545563,0.15866617808721142,0.41582611714335305
74,PITT,Republican,143061,35502,0.3307959541733946,0.035350121119936906,0.5335695961862422,0.8952171708636133,0.4664304038137578,0.10478282913638669,47.99716903978023,50.66894822826883,0.341469722705699,0.22565853658536586,0.0013983739837398375,0.12504065040650406,0.3565528455284553
75,POLK,Democrat,19536,4397,0.03490990990990991,0.12053672958835569,0.8907145782145782,0.8110075051171253,0.10928542178542179,0.1889924948828747,59.723331285831286,64.2392540368433,0.3942977067977068,0.36932108218478815,0.012761613067891782,0.26442062276671774,0.6531393568147014
75,POLK,Republican,19536,7296,0.03490990990990991,0.00356359649122807,0.8907145782145782,0.9399671052631579,0.10928542178542179,0.060032894736842105,59.723331285831286,59.98327850877193,0.3942977067977068,0.2322511594719943,0.00231894398858366,0.16464502318943988,0.4043881555476275
76,RANDOLPH,Democrat,107885,17903,0.06501367196551884,0.27526112941965036,0.8201974324512212,0.5638161202033178,0.1798025675487788,0.4361838797966821,53.09980071372294,56.633860246885995,0.30863419381749085,0.24459315851451877,0.005974093115432117,0.15159261280408995,0.411006117701123
76,RANDOLPH,Republican,107885,55948,0.06501367196551884,0.005522985629513119,0.8201974324512212,0.9262350754271824,0.1798025675487788,0.07376492457281762,53.09980071372294,55.59691141774505,0.30863419381749085,0.22010704231161893,0.0026605892483319757,0.1307710552639449,0.3594167328376525
