precinctname,masters_sen_pct,lake_gov_pct,finchem_sos_pct,hamadeh_atg_pct,tvotesrepgov,magafactor,magamean
0057 BETHANY,33.905579,38.016529,33.108109,24.222221,484,-1.8191475,32.31311
0058 BETHANY PARK,42.857143,46.551723,40.740742,40.740742,58,-.41466063,42.722588
0059 BETHUNE,47.619049,43.18182,36.585365,32.5,44,.037976969,39.971558
0060 BILTMORE,28.973276,35.013622,28.328173,23.020529,734,-2.5466478,28.8339
0061 BISCUIT FLAT,45.994064,51.6035,39.432178,32.826748,343,.51203012,42.464123
0062 BISHOP,41.964287,43.04348,37.142857,36.190475,230,-.056798793,39.585274
0063 BLACK CANYON,38.87043,48.553055,33.561646,32.225914,311,-.2409429,38.302761
0064 BLACK GOLD,30.357143,36.944443,39.960823,29.53668,1080,-.85634738,34.199772
0065 BLACKHAWK,42.401501,46.950092,46.292583,30.30888,541,.26241687,41.488266
0066 BLOOM,50,57.173447,47.785549,35.730335,467,1.4161618,47.672333
0067 BLUE HORIZONS,47.978436,64.921463,44.034092,42.977528,382,1.8817096,49.977879
0068 BLUE SKY,30.316742,33.920704,40.420559,24.263039,454,-1.0443286,32.230263
0069 BLUEBIRD,39.585732,51.74353,36.734695,33.056873,889,.15036447,40.280209
0070 BLUEFIELD,42.944786,53.474319,44.426495,31.487341,662,.48367018,43.083237
0071 BLUEJAY,39.23077,46.415092,44.53125,42.911877,265,.29403162,43.272247
0072 BOLERO,39.130436,68,36,12,25,-.38193193,38.782608
0073 BONANZA,33.377838,37.962963,37.16312,29.371584,756,-.6598165,34.468876
0074 BONSALL PARK,17.142857,34.285713,34.375,9.090909,35,-3.45419,23.723619
0075 BOULDER MOUNTAIN,43.042812,44.194756,39.936104,35.126583,1335,.19452247,40.575066
0076 BRACKEN,42.622952,42.6492,44.075829,29.467085,687,-.29882738,39.703766
0077 BREWER,37.14653,47.139305,38.419617,29.697765,804,-.4032729,38.100803
0078 BRONCO,40.466278,44.060997,35.813148,32.439445,1246,-.21963802,38.194969
0079 BROOKS FARM,45.491386,53.386456,46.420826,39.429176,1004,1.445387,46.181961
0080 BUCKEYE,36.807819,50.798721,47.586208,33.892616,313,-.010372896,42.271339
0081 BUCKLEY,37.226276,45.936398,39.147285,30.943396,283,-.54870176,38.313339
0082 BUFFALO RIDGE,44.629154,49.875,43.355705,33.377308,800,.5040589,42.809292
0083 BULLARD,,,,,0,,
0084 BULLMOOSE,33.130081,44.642857,39.655174,29.892473,504,-.6930232,36.830147
