state,jurisdiction,precinct_id,total_turnout_2022,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0067 BLUE HORIZONS,488,04013_0067 BLUE HORIZONS,MARICOPA,3020,1110,854,936,627,673,319,1102,982,1964,0.47278798,0.52721202,0.21192053,0.376490066,0.280463576,0.131125828,0.571192053,0.028145695,0.36192053,0.038741722,0.382758621,0.294482759,0.322758621,0.585182559,0.414817441,0.311092767,0.260099286
AZ,MARICOPA,0068 BLUE SKY,561,04013_0068 BLUE SKY,MARICOPA,1023,206,206,549,459,467,452,608,667,819,0.43597263000000003,0.56402737,0.00686948,0.022571148,0.146221786,0.824337586,0.936461388,0.00684262,0.031280547,0.025415445,0.214360042,0.214360042,0.571279917,0.517746476,0.482253524,0.488721303,0.447740085
AZ,MARICOPA,0069 BLUEBIRD,1087,04013_0069 BLUEBIRD,MARICOPA,5566,1948,1660,1666,1799,1901,1195,2564,2425,3898,0.474484256,0.525515744,0.183321352,0.27875629,0.301581596,0.236340762,0.726374416,0.015810277,0.182896155,0.074919152,0.36935912,0.314751612,0.315889268,0.633647619,0.366352381,0.4481221,0.278252316
AZ,MARICOPA,0070 BLUEFIELD,757,04013_0070 BLUEFIELD,MARICOPA,3324,1049,885,1195,1294,1359,840,1770,1609,2417,0.485947416,0.514052584,0.158844765,0.286101083,0.315583634,0.239470517,0.756618532,0.009626955,0.178399519,0.055354994,0.335250879,0.282837967,0.381911154,0.71252969,0.28747031,0.526523622,0.23009491
AZ,MARICOPA,0071 BLUEJAY,325,04013_0071 BLUEJAY,MARICOPA,1558,525,388,583,483,529,313,711,675,1123,0.477979275,0.522020725,0.13928113,0.335044929,0.350449294,0.175224647,0.729513658,0.01332445,0.149233844,0.107928048,0.350935829,0.259358289,0.389705882,0.560702944,0.439297056,0.392071689,0.337441969
AZ,MARICOPA,0072 BOLERO,43,04013_0072 BOLERO,MARICOPA,644,285,257,76,108,123,59,188,162,341,0.457006369,0.542993631,0.281055901,0.409937888,0.232919255,0.076086957,0.425465839,0.163043478,0.375776398,0.035714286,0.461165049,0.415857605,0.122977346,0.550301749,0.449698251,0.224675089,0.20079075
AZ,MARICOPA,0073 BONANZA,845,04013_0073 BONANZA,MARICOPA,1827,402,438,863,747,780,723,1023,1113,1431,0.441031267,0.558968733,0.019747669,0.031267142,0.148107515,0.800877674,0.937055282,0.001642036,0.035030104,0.026272578,0.236054022,0.257193188,0.506752789,0.586201463,0.413798537,0.544714857,0.392340425
AZ,MARICOPA,0074 BONSALL PARK,37,04013_0074 BONSALL PARK,MARICOPA,787,378,284,99,118,113,51,173,149,320,0.440568475,0.559431525,0.367217281,0.275730623,0.249047014,0.108005083,0.320203304,0.060991105,0.579415502,0.039390089,0.496714849,0.373193167,0.130091984,0.846596871,0.153403129,0.260234494,0.059968809
AZ,MARICOPA,0075 BOULDER MOUNTAIN,1594,04013_0075 BOULDER MOUNTAIN,MARICOPA,3816,988,719,1941,1593,1678,1244,2211,2254,3092,0.487779238,0.512220762,0.124737945,0.123689727,0.413259958,0.338312369,0.901127721,0.002622607,0.043535274,0.052714398,0.270833333,0.197094298,0.532072368,0.357699766,0.642300234,0.317729246,0.583398475
AZ,MARICOPA,0076 BRACKEN,837,04013_0076 BRACKEN,MARICOPA,4305,1488,1276,1298,1412,1472,1023,2007,1936,2958,0.490926231,0.509073769,0.237685874,0.261152416,0.284851301,0.216310409,0.660315985,0.024860595,0.175650558,0.139172862,0.366322009,0.31413097,0.319547021,0.32601143,0.67398857,0.211027694,0.449288291
AZ,MARICOPA,0077 BREWER,1022,04013_0077 BREWER,MARICOPA,3253,979,728,1370,1298,1343,915,1664,1552,2322,0.477427335,0.522572665,0.198893329,0.236089763,0.303719643,0.261297264,0.789425146,0.015677836,0.141100523,0.053796496,0.318167046,0.236594085,0.445238869,0.547685654,0.452314346,0.417337156,0.37208799
AZ,MARICOPA,0078 BRONCO,1652,04013_0078 BRONCO,MARICOPA,3679,916,719,1849,1738,1830,1290,2167,2171,2936,0.49139109,0.50860891,0.141691596,0.138428066,0.368778896,0.351101441,0.870888828,0.005164447,0.037782006,0.086164719,0.262916188,0.206371986,0.530711825,0.262833361,0.737166639,0.227558907,0.643329921
AZ,MARICOPA,0079 BROOKS FARM,1193,04013_0079 BROOKS FARM,MARICOPA,4007,1236,729,1890,1424,1544,939,2065,1961,3011,0.504144687,0.495855313,0.186174195,0.236086848,0.419515847,0.15822311,0.756675817,0.011230347,0.1100574,0.122036436,0.320622568,0.189105058,0.490272374,0.573629997,0.426370003,0.42908387,0.327591947
